SampleID,Year *a,      Mg/Ca (x10-3) *b,       Sr/Ca (x10-3) *b,      Ba/Ca (x10-6)  *b,        d13C (per mil VPDB) *c,        d18O (per mil VPDB) *c,        d11B (per mil) *d,2sigma,pH *e,   2sigma mean *e
AREO 4-1941,1941,3.837,7.688,2.68,-1.44,-4.39,23.90,0.16,8.05,0.02
AREO 4-1942,1942,3.616,7.758,4.26,-1.37,-4.69,24.24,0.14,8.09,0.02
AREO 4-1943,1943,3.667,7.747,2.80,-1.85,-5.32,24.09,0.15,8.08,0.02
AREO 4-1944,1944,3.637,7.746,3.53,-1.40,-4.70,24.22,0.28,8.09,0.03
AREO 4-1945,1945,3.746,7.705,3.52,-1.91,-4.83,24.05,0.24,8.07,0.03
AREO 4-1946,1946,3.671,7.665,2.85,-1.28,-4.97,24.73,0.15,8.15,0.02
AREO 4-1947,1947,3.676,7.762,3.76,-1.64,-4.77,25.14,0.10,8.19,0.01
AREO 4-1948,1948,3.590,7.741,3.60,-1.74,-4.49,24.64,0.13,8.14,0.01
AREO 4-1949,1949,3.625,7.687,3.43,-1.72,-4.81,23.80,0.17,8.04,0.02
AREO 4-1950,1950,3.673,7.722,4.18,-1.65,-4.74,23.99,0.21,8.06,0.02
AREO 4-1951,1951,3.811,7.736,3.56,-1.54,-4.83,24.08,0.14,8.08,0.02
AREO 4-1952,1952,3.786,7.735,2.81,-1.69,-4.70,23.46,0.16,8.00,0.02
AREO 4-1953,1953,4.104,8.036,7.22,-2.12,-5.64,23.32,0.17,7.98,0.02
AREO 4-1954,1954,3.780,7.671,3.80,-1.75,-5.28,23.45,0.18,8.00,0.02
AREO 4-1955,1955,3.943,7.914,3.54,-1.44,-4.90,23.14,0.18,7.96,0.02
AREO 4-1956,1956,3.810,7.760,2.74,-1.62,-5.01,22.96,0.23,7.93,0.03
AREO 4-1957,1957,3.938,7.992,2.87,-1.86,-4.93,23.25,0.13,7.97,0.02
AREO 4-1958,1958,3.988,7.762,2.91,-1.79,-4.52,23.67,0.17,8.02,0.02
AREO 4-1959,1959,4.123,8.006,3.48,-1.77,-4.81,23.06,0.21,7.94,0.03
AREO 4-1960,1960,3.980,8.073,3.34,-1.64,-4.51,23.55,0.24,8.01,0.03
AREO 4-1961,1961,3.761,7.673,2.37,-1.83,-4.66,23.04,0.18,7.94,0.02
AREO 4-1962,1962,4.004,7.749,3.34,-1.73,-4.69,22.76,0.15,7.90,0.02
AREO 4-1963,1963,3.828,7.653,2.68,-1.86,-5.42,23.09,0.13,7.95,0.02
AREO 4-1964,1964,3.890,7.663,3.04,-1.78,-4.90,23.30,0.17,7.98,0.02
AREO 4-1965,1965,3.827,7.686,2.69,-1.83,-4.73,23.74,0.11,8.03,0.01
AREO 4-1966,1966,3.850,7.734,3.51,-1.92,-4.95,24.08,0.11,8.08,0.01
AREO 4-1967,1967,3.790,7.685,2.93,-1.68,-4.63,23.61,0.15,8.02,0.02
AREO 4-1968,1968,3.836,7.695,3.33,-1.81,-4.94,23.96,0.15,8.06,0.02
AREO 4-1969,1969,3.756,7.670,3.20,-1.76,-5.40,23.90,0.18,8.05,0.02
AREO 4-1970,1970,3.892,7.661,3.05,-1.77,-4.52,23.52,0.29,8.01,0.04
AREO 4-1971,1971,3.899,7.968,3.49,-1.65,-4.85,23.57,0.18,8.01,0.02
AREO 4-1972,1972,3.926,7.674,4.22,-2.00,-5.37,23.90,0.19,8.05,0.02
AREO 4-1973,1973,4.011,7.926,4.47,-1.72,-4.75,23.19,0.14,7.96,0.02
AREO 4-1974,1974,3.728,7.579,2.68,-1.71,-4.62,23.83,0.15,8.04,0.02
AREO 4-1975,1975,3.791,7.674,3.66,-1.96,-5.17,23.77,0.11,8.04,0.01
AREO 4-1976,1976,3.961,7.824,2.85,-1.76,-4.64,23.34,0.16,7.98,0.02
AREO 4-1977,1977,3.855,7.597,3.00,-2.23,-5.36,22.96,0.17,7.93,0.02
AREO 4-1978,1978,3.765,7.695,3.47,-2.25,-5.24,23.37,0.16,7.99,0.02
AREO 4-1979,1979,4.005,7.655,2.72,-1.87,-4.66,23.45,0.20,8.00,0.02
AREO 4-1980,1980,4.038,7.703,3.17,-2.10,-5.20,22.29,0.22,7.83,0.03
AREO 4-1981,1981,4.031,7.906,3.46,-1.94,-4.79,23.26,0.16,7.97,0.02
AREO 4-1982,1982,4.186,7.618,3.25,-1.85,-4.89,23.32,0.16,7.98,0.02
AREO 4-1983,1983,3.896,7.685,2.63,-1.72,-4.70,23.61,0.16,8.02,0.02
AREO 4-1984,1984,3.775,7.648,3.23,-1.96,-4.96,23.82,0.20,8.04,0.02
AREO 4-1985,1985,3.832,7.601,3.83,-2.28,-5.37,23.38,0.25,7.99,0.03
AREO 4-1986,1986,3.837,7.693,2.38,-2.46,-5.53,22.42,0.23,7.85,0.04
AREO 4-1987,1987,3.886,7.675,2.95,-2.35,-5.41,22.71,0.28,7.89,0.04
AREO 4-1988,1988,4.033,7.487,4.12,-2.77,-5.42,22.70,0.18,7.89,0.03
AREO 4-1989,1989,4.133,7.722,3.76,-3.08,-5.45,22.97,0.14,7.93,0.02
AREO 4-1990,1990,3.896,7.707,3.33,-2.60,-5.26,22.86,0.20,7.92,0.03
AREO 4-1991,1991,4.093,7.694,2.99,-2.22,-4.84,22.88,0.18,7.92,0.02
AREO 4-1992,1992,4.078,7.698,2.58,-2.89,-5.54,23.40,0.11,7.99,0.01
AREO 4-1993,1993,3.888,7.727,2.64,-2.55,-4.98,24.61,0.13,8.14,0.02
AREO 4-1994,1994,3.966,7.690,2.86,-2.42,-4.59,24.19,0.17,8.09,0.02
AREO 4-1995,1995,4.111,7.619,4.12,-2.50,-4.87,24.16,0.13,8.08,0.01
AREO 4-1996,1996,4.311,7.606,2.88,-2.75,-4.98,22.62,0.16,7.88,0.02
AREO 4-1997,1997,3.998,7.713,3.22,-2.65,-4.70,21.65,0.18,7.71,0.03
AREO 4-1998,1998,4.351,7.610,2.92,-2.82,-5.21,21.06,0.21,7.57,0.05
AREO 4-1999,1999,4.061,7.722,3.60,-3.33,-4.80,21.97,0.20,7.77,0.03
AREO 4-2000,2000,4.120,7.628,3.48,-3.14,-5.29,22.22,0.14,7.81,0.02
AREO 4-2001,2001,4.160,7.653,3.46,-3.12,-4.97,21.93,0.16,7.76,0.03
AREO 4-2002,2002,4.238,7.663,3.10,-2.69,-5.32,23.82,0.16,8.04,0.02
AREO 4-2003,2003,4.196,7.752,4.40,-2.72,-5.96,23.74,0.16,8.03,0.02
AREO 4-2004,2004,4.108,7.691,22.16,-3.56,-5.25,21.45,0.28,7.66,0.05
,,,,,,,,,,
"*a Samples from 1805 to 1939 are in 5-year interval, and the years for these samples are the average of the 5-year.",,,,,,,,,,
"*b Mg/Ca, Sr/Ca and Ba/Ca are molecular ratios.",,,,,,,,,,
*c d13C and d18O are relative to Vienna PDB standard.,,,,,,,,,,
"*d d11B are relative to the long-term average of SRM 951 measured on this machine, 4.0532.",,,,,,,,,,
"*e pH values are calculated using the following parameters: a(B3–B4) = 1.0204 (Xiao et al., 2006), ",,,,,,,,,,
"    pKB = 8.60 (Honisch et al., 2004) and seawater d11B = 40.08& of our measurement for the GBR seawater.",,,,,,,,,,
